Query,Title,Browser,OS,Customer_Type,Issue,Resolution
I'm unable to generate reports from the dashboard. The button remains greyed out even after selecting all the required filters. This happens on Chrome on macOS Sonoma.,Dashboard report generation button is greyed out after applying filters,Chrome,macOS Sonoma,Individual,Dashboard report generation button remains greyed out after applying filters,Clear browser cache and cookies
Our team can't access shared folders anymore. We keep getting a 'Permission Denied' error,Shared folder access denied error on Firefox on Windows 10,Firefox,Windows 10,Enterprise,Permission denied error when accessing shared folders despite no role changes,Check firewall settings and ensure the shared folder permissions are correctly configured
The mobile app crashes on launch for Android 14 users. It briefly shows the splash screen then closes. We've tried reinstalling. Help? – Dev Team,Mobile app crashes on launch for Android 14 users,,Android 14,Developer,Mobile app crashes on launch for Android 14 users,Check for app updates and ensure the device is compatible with Android 14. If the issue persists
Emails from your system are being flagged as spam by Gmail. We're missing important notifications. Can you adjust the sending domain or SPF records? Thanks,Email spam flagging and notification issues,,,Individual,Emails flagged as spam by Gmail leading to missing notifications,Check and update SPF records or adjust the sending domain settings in Gmail's spam filtering settings
I’m seeing a 502 Bad Gateway error when trying to access our billing page. This happens in Safari on iOS 17.,Billing page fails with 502 Bad Gateway error in Safari on iOS 17,Safari iOS 17,iOS 17,Individual,502 Bad Gateway error when accessing billing page in Safari on iOS 17,Check server logs and ensure the billing service is running correctly. Verify if there are any known issues with the billing page or server configuration.
we tried importing our user data via CSV but keep getting 'Invalid file format' even though it follows the template.,CSV import failure with invalid format,Edge,Windows 11,Individual,CSV file format error despite following the template,Verify file encoding (UTF-8 or UTF-16) and check for missing commas or incorrect delimiters in the CSV
I noticed the time tracking widget is not syncing with our calendar anymore. We're using Google Calendar integration. This started last week. Help appreciated! – Camille,Time tracking widget not syncing with Google Calendar,,,Individual,Time tracking widget not syncing with Google Calendar,Check the Google Calendar integration settings in the time tracking tool and ensure it's properly configured
we just onboarded a new employee but they’re stuck at the 'Verify your email' step. They never get the email. We've checked spam and firewall.,Email verification failure for new employee,,,Individual,Email verification failure for new employee,Check if the email was sent to the correct address and ensure the employee is checking their inbox. Verify email settings and confirm the employee's account is properly configured.
Our API calls are failing with a 403 error since yesterday. Our API key hasn't changed. Could it be rate limiting or permission-related?,API 403 error due to rate limiting or permissions,,,Developer,403 error during API calls,Check API rate limits and verify API key permissions. Ensure the API key is valid and has the necessary access rights.
The new dashboard layout doesn’t load on Safari 15. It shows a blank screen. Other browsers work fine. Is this a known issue? – Michael,Dashboard layout fails to load on Safari 15 with blank screen,Safari 15,,Individual,Dashboard layout fails to load on Safari 15 with blank screen,Check browser compatibility for Safari 15 and consider updating to a newer version or checking for known issues in the browser support documentation.
