Query
"Hi, I'm unable to generate reports from the dashboard. The button remains greyed out even after selecting all the required filters. This happens on Chrome on macOS Sonoma. Thanks, Alex"
"Hello, our team can't access shared folders anymore. We keep getting a 'Permission Denied' error, even though nothing has changed with user roles. We're using Firefox on Windows 10. Regards, Nina"
"Hey support, the mobile app crashes on launch for Android 14 users. It briefly shows the splash screen then closes. We've tried reinstalling. Help? – Dev Team"
"Hi, emails from your system are being flagged as spam by Gmail. We're missing important notifications. Can you adjust the sending domain or SPF records? Thanks, Jordan"
"Hello, I’m seeing a 502 Bad Gateway error when trying to access our billing page. This happens in Safari on iOS 17. Any idea what's going on? – Lisa"
"Hi team, we tried importing our user data via CSV but keep getting 'Invalid file format' even though it follows the template. Using Edge on Windows 11. Thanks, Ravi"
"Hi, I noticed the time tracking widget is not syncing with our calendar anymore. We're using Google Calendar integration. This started last week. Help appreciated! – Camille"
"Hi there, we just onboarded a new employee but they’re stuck at the 'Verify your email' step. They never get the email. We've checked spam and firewall. Thanks, Ben"
"Hello, our API calls are failing with a 403 error since yesterday. Our API key hasn’t changed. Could it be rate limiting or permission-related? Best, Zoe"
"Hi, the new dashboard layout doesn’t load on Safari 15. It shows a blank screen. Other browsers work fine. Is this a known issue? – Michael"
"Hey, the dark mode setting resets every time I log in. I’ve tried clearing cookies but no luck. I'm on Firefox on Linux. Can you check? Thanks, Raj"
"Hi support, our invoices are showing incorrect tax calculations for European customers. VAT isn't being added. Can you fix this? Regards, Lucia"
"Hi team, I'm trying to upgrade our subscription but the payment form keeps timing out. I've tried multiple cards. Using Chrome on Windows 10. – Arjun"
"Hello, we’re seeing delays in real-time notifications—up to 10 minutes sometimes. This impacts our workflow significantly. Any updates? – Operations Team"
"Hi, when we export our dashboard to PDF, some charts are missing or cut off. Is this a bug or formatting issue? Best, Melissa"
"Hey there, I’m using the CLI tool and suddenly getting an 'Authentication failed' message. Token hasn’t changed. What should I do? – Greg"
"Hello support, attachments aren't downloading properly in Safari—they appear as .txt instead of PDFs. This is only happening for some users. Thanks, Yuki"
"Hi, every time I try to reset my password, I get a 'Token expired' error, even if I click the link immediately. Please help. – Sam"
"Hi, we recently switched to SAML authentication, but new users can't log in—they get 'invalid assertion' errors. Setup was done via your docs. Advice? – IT Dept"
"Hi, the drag-and-drop upload feature doesn’t work in Firefox but works in Chrome. It just opens the file instead of uploading. Any workaround? – Daniel"
"Hello team, we can’t delete old projects—clicking delete does nothing. No error message either. Using Edge on Windows. – Chloe"
"Hi support, I'm getting logged out randomly while working. It’s disrupting my work. Happens across browsers. Session timeout setting? – Omar"
"Hey, the app is stuck on a loading spinner after login. Happens on Android 13. Works fine on iOS. Any updates? – Beta Tester"
"Hello, our webhook endpoint isn’t receiving payloads. Nothing in our logs. Can you check if they’re being sent from your side? Thanks, Felix"
"Hi, scheduled reports aren’t being sent via email. They show as 'Delivered' in the UI but never arrive. Can you investigate? – Natalie"
"Hi team, I just tried uploading a logo in our profile settings and received 'Unsupported file format'—but it's a PNG. Please assist. – Jason"
"Hey, users are unable to sign documents via e-signature—clicking 'Sign' does nothing. This is blocking contract completion. – L Dept"
"Hi, auto-save is not working in the editor anymore. We’ve lost work due to this. Using Chrome on Windows 10. – Editorial Team"
"Hello, we're seeing duplicated records after importing contacts. Can you prevent duplicates based on email ID? – CRM Admin"
"Hi, the analytics widget isn’t updating in real-time—it shows data from yesterday only. Any known issue? – Marketing Team"
"Hi support, the custom domain setup for our portal fails at the SSL verification step. Using Cloudflare for DNS. Please help. – IT Admin"
"Hello, we’re getting 'Unknown error' when trying to submit forms on iPads running iPadOS 17. Worked before. Fix? – Front Desk"
"Hi there, when I create a new user group, it doesn't save permissions properly. Everyone ends up with full access. – Admin"
"Hey team, your widget causes layout shifts on our site when it loads. Can we delay or async-load it? – Frontend Dev"
"Hi, our backups to Dropbox failed with a 'Token revoked' error. We didn’t change anything. How can we reconnect safely? – IT Ops"
"Hello, we integrated your app with Slack but messages are delayed or missing. Webhook retries? – Product Team"
"Hi, I’m using Brave browser and the login page doesn’t load—it’s just blank. Any compatibility issues? – Aaron"
"Hi support, when exporting a CSV report, commas in text fields break the formatting. Can you wrap fields in quotes? – Data Analyst"
"Hello, we tried sending a bulk invite to users but only some received the email. We’re using the admin console. Why? – Admin Team"
"Hi, I accidentally deleted an important workspace. Is there a way to restore it? It happened an hour ago. – Maria"
